dataset_type,dataset_file,algorithm,avg_time_s_or_status,time_std_s,mem_kb_or_vram_mb,rss_or_vram_before_mb,rss_or_vram_after_mb,repeats_or_note
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,QuickSort,0.007149,0.000000,150.29,134.22,134.23,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,MergeSort,0.010531,0.000000,301.87,134.34,134.39,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,HeapSort,0.019789,0.000000,145.06,134.47,134.47,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,RadixSort,0.003911,0.000000,234.93,134.49,134.50,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,BucketSort,0.001818,0.000000,251.61,134.61,134.68,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,CountingSort,0.000905,0.000000,161.66,134.68,134.68,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,OptiFlexSort,0.013371,0.000000,1.77,134.68,134.68,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,ClusterSort,0.004116,0.000000,251.77,134.70,134.72,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,TimSort (Python),0.000717,0.000000,156.25,134.72,134.72,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,BurstSort,0.004087,0.000000,183.08,134.86,134.93,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,SpreadSort,0.003828,0.000000,317.51,135.02,135.11,1
duplicate_heavy,C:\Users\ashis\OneDrive\Documents\python face detection\duplicate heavy dataset\duplicates_10000.txt,AdaptiveHybridSort,0.001396,0.000000,166.62,135.12,135.12,1
